duns,domain,gt_domain,business_name,address_1,address_2,city_name,state_name,postal_code,country_name,line_of_business,better_domain,perfect_match,probably_match,not_match,alternative_domain,comment,time
9606281,www.ridesta.com,ridesta.com,"Student Transportation of America, Inc.",3349 State Route 138,,WALL TOWNSHIP,New Jersey,7719,USA,School bus service,ridesta.com,1,,,,,"2,00"
278145859,eiffage.com,eiffageenergiesystemes.com,EIFFAGE ENERGIE SYSTEMES - REGIONS FRANCE,3-7,3 PL DE L EUROPE,VELIZY-VILLACOUBLAY,YVELINES,78140,FRANCE,Electrical contractor,eiffageenergiesystemes.com,1,,,,,"5,00"
211990304,fujitsu.com,uk.fujitsu.com,FUJITSU SERVICES HOLDINGS PLC,Lovelace Road,,BRACKNELL,BERKSHIRE,RG12,ENGLAND,Computer related services,uk.fujitsu.com,1,,,,,"2,00"
654253814,lyfiber.com,petrochina.com.cn,"PetroChina Liaoyang Petroleum Chemical Fiber Co., Ltd.","No.5, Huoju Street, Hongwei District",,Liaoyang,Liaoning,11100,CHINA,Mfg organic fiber-noncellulosic,lyfiber.com,,1,,,,"7,30"
214511420,gxo.com,europe.xpo.com,GXO LOGISTICS UK LIMITED,Building 1,Haymarket Square,EDINBURGH,MIDLOTHIAN,EH3 8,SCOTLAND,Trucking operator-nonlocal,gxo.com,,1,,,,"5,70"
194190609,www.conduent.com,conduent.com,"Conduent Business Services, LLC",100 Campus Dr Ste 200,,FLORHAM PARK,New Jersey,7932,USA,Data processing/preparation,conduent.com,1,,,,,"4,80"
1152461,www.stanleyblackanddecker.com,stanleyblackanddecker.com,"Stanley Black & Decker, Inc.",1000 Stanley Dr,,NEW BRITAIN,Connecticut,6053,USA,Mfg hardware,www.stanleyblackanddecker.com,1,,,,,"2,00"
80639083,www.alticeusa.com,alticeusa.com,"Altice Usa, Inc.",1 Ct Square W,,LONG ISLAND CITY,New York,11101,USA,Telephone communications,alticeusa.com,1,,,,,"2,00"
13831768,www.aligntech.com,aligntech.com,"Align Technology, Inc.",410 N Scottsdale Rd Ste 1300,,TEMPE,Arizona,85281,USA,Mfg dental equipment/supplies,aligntech.com,1,,,,,"2,00"
72514789,rivcoeh.org,countyofriverside.us,County of Riverside,4080 Lemon St FL 11,,RIVERSIDE,California,92501,USA,Fire protection,countyofriverside.us,,1,,,line of business conflict,"3,00"
863794846,indore.nic.in,imcindore.mp.gov.in,INDORE MUNICIPAL CORPORATION,"Jail Road, Kotari Market","Netaji Subash Marg, Nagar Balika Nigam",Indore,Madhya Pradesh,45200,INDIA,Legislative body,imcindore.mp.gov.in,1,,,,,"2,00"
79563153,www.caesars.com,eldoradoresorts.com,"Caesars Entertainment, Inc.",100 W Liberty St FL 12,,RENO,Nevada,89501,USA,Hotel/motel operation,www.caesars.com,1,,,,,"2,00"
628107245,outback.com,bloominbrands.com,"OSI Restaurant Partners, LLC",2202 N West Shore Blvd Ste 500,,Tampa,Florida,33607,USA,Eating place,bloominbrands.com,,1,,,,"1,00"
155366107,starbucks.com,starbucksreserve.com,Starbucks Corporation,2401 Utah Ave S Ste 800,,SEATTLE,Washington,98134,USA,Eating place,starbucks.com,1,,,,,"3,00"
1344746,www.ford.com,ford.com,Ford Motor Company,1 American Rd,,DEARBORN,Michigan,48126,USA,Mfg motor vehicle/car bodies,ford.com,1,,,,,"1,00"
6980080,www.att.com,att.com,"AT&T Enterprises, LLC",208 S Akard St,,DALLAS,Texas,75202,USA,Telephone communications,att.com,,1,,,,"1,00"
81161936,www.thecignagroup.com,cigna.com,The Cigna Group,900 Cottage Grove Rd,,BLOOMFIELD,Connecticut,6002,USA,Hospital/medical service plan,www.thecignagroup.com,1,,,,,"1,00"
6026793,alticor.com,amway.com,Alticor Inc.,7575 Fulton St E,,ADA,Michigan,49355,USA,Direct retail sales,amway.com,,1,,,,"3,00"
774238992,disneylandparis-news.com,disneylandparis.com,EURO DISNEY ASSOCIES SAS,ISIGNY,1 PLACE D ARIANE,CHESSY,SEINE ET MARNE,77700,FRANCE,Amusement park,,,,1,,May be stoped work,"2,00"
654704782,zj.10086.cn,china-telecommunications.com,"China Mobile Communications Group Zhejiang Co., Ltd.",No.19 Jiefang East Road,,Hangzhou,Zhejiang,31000,CHINA,Radiotelephone communication,,,1,,www.chinamobileltd.com,,"2,00"
883704959,www.darden.com,darden.com,"Darden Restaurants, Inc.",1000 Darden Center Dr,,ORLANDO,Florida,32837,USA,Eating place,darden.com,1,,,,,"4,00"
210908687,rolls-roycemotorcars.com,rolls-royce.com,ROLLS-ROYCE PLC,Kings Place,90 York Way,LONDON,LONDON,N1 9F,ENGLAND,Repair services,rolls-royce.com,1,,,,,"2,00"
918437534,berc.co.in,bsphcl.co.in,BIHAR STATE ELECTRICITY BOARD,3rd & 4th Floor,Bailey Road,Patna,Bihar,80002,INDIA,Electric services,berc.co.in,1,,,,,"4,00"
1307586,www.adm.com,adm.com,Archer-Daniels-Midland Company,77 W Wacker Dr Ste 4600,,CHICAGO,Illinois,60601,USA,Cottonseed oil mill,adm.com,1,,,,,"2,00"
